Ingredient ID,Ingredient
1,ASCORBYL GLUCOSIDE
2,GROUND TURMERIC
3,SOLUM FULLONUM (FULLER'S EARTH)
4,HELICHRYSUM ITALICUM FLOWER OIL
5,IMIDAZOLIDINYL UREA
6,SODIUM STEAROYL LACTYLATE
7,MADECASSOSIDE
8,DIMETHYL SULFONE
9,CYCLOTETRASILOXANE
10,ASIATICOSIDE
11,WATERMELON FRUIT EXTRACT
12,CYMBOPOGON CITRATUS EXTRACT
13,TETRAPOTASSIUM PYROPHOSPHATE
14,PASSIFLORA INCARNATE FRUIT EXTRACT
15,CENTELLAASIATICA EXTRACT
16,SODIUM BENZOTRIAZOLYL BUTYLPHENOL SULFONATE
17,CITRUS AURANTIUM AMARA (BITTER ORANGE) FLOWER OIL
18,VINE RESVERATROL
19,TRIETHYL CITRATE
20,ARGAN OIL
21,SODIUMASCORBYLPHOSPHATE
22,BAMBUSA VULGARIS (BAMBOO) EXTRACT
23,HYDROGEN DIMETHICONE
24,ROSA CANINA (ROSEHIP) FRUIT OIL
25,TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE
26,OCTYLDODECYL OLEATE
27,CETEARYL ISONONANOATE
28,WATER
29,C12-20 ALKYL GUCOSIDE
30,COPPER LYSINATE/PROLINATE
31,HYDROXYPHENYL PROPAMIDOBENZOIC ACID
32,BARIUM SULFATE
33,GLYCERIN
34,CASTANEA SATIVA (CHESTNUT) BARK
35,TRIETHOXYSILYLETHYL
36,CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL
37,SORBITAN LAURATE
38,CERAMIDE EOP
39,PEG-40 HYDROGE- NATED CASTOR OIL
40,CAMELINA SATIVA SEED OIL
42,KOKUM BUTTER (GARCINIA INDICA)
43,ISODECYL NEOPENTANOATE DIISOPROPYL SEBACATE
44,ASCOPHYLLUM NODOSUM EXTRACT
45,OENOTHERA BIENNIS
46,COMMIPHORA MUKUL RESIN EXTRACT
47,POLYSORBATE 80
48,SYRINGA VULGARIS (LILAC) LEAF CELL CULTURE EXTRACT
49,SODIUM ACRYLATE
50,LACTIC ACID (SOURCE WHEAT)
51,PEPPERMINT LEAF EXTRACT
52,CITRUS AURANTIUM DULCIS (ORGANIC ORANGE) FRUIT WATER
53,OXOTHIAZOLIDINECARBOXYLIC ACID
54,PYRUS MALUS (APPLE) FRUIT WATER
55,N-HYDROXYSUCCINIMIDE
56,LAVENDULA ANGUSTIFOLIA (LAVENDER) FLOWER/LEAF STEM EXTRACT
57,MELIA AZADIRACHTA LEAF EXTRACT
58,C9-12 ALKANE (COCONUT)
59,ALOE BARBADENSIS FLOWER EXTRACT
60,HORDEUM VULGARE LEAF JUICE
61,PULLULAN
62,BUTYROSPERMUN PARKII (SHEA BUTTER)
63,HELIANTHUS ANNUUS(ORGANIC SUNFLOWER) SEED EXTRACT
64,EUTERPE OLERACEA FRUIT EXTRACT (ACAI)
65,SORBITAN OLEATE DECYL-GLUCOSIDE CROSSPOLYMER
66,LEMON PEEL EXTRACT
67,ACETIC ACID
68,PINUS PINASTER BARK EXTRACT
69,DISODIUM OLEAMIDO MIPA-SULFOSUCCINATE
70,DIMETHYL ISOSORBIDE
71,TRIBEHENIN
72,PEG-120
73,DIMETHICONE CROSS-POLYMER
74,DIPROPYLENE GLYCOL
75,ETHYLBISIMINOMETHYLGUAIACOL MANGANESE CHLORIDE
76,BINCHOTAN CHARCOAL PASTE
77,SALICORNIA HERBACEA EXTRACT
78,HYDROXYETHYLCELLULOSE
79,TRIMETHYLPENTANEDIOL/ADIPIC ACID COPOLYMER
80,ILITE
81,OPUNTIA VULGARIS (CACTUS) EXTRACT
82,DICTYOPTERIS MEMBRANACEA EXTRACT
83,PHYTIC ACID
84,AVOBENZONE(3%)
85,MALPIGHIA EMARGINATA (ACEROLA) SEED EXTRACT
86,PROPANEDIOL
87,DISO- DIUM EDTA
88,POLYACRYLIC ACID
89,ROSE EXTRACT
90,OCTYLDODECYL MYRISTATE
91,HYDROXYACETOPHENONE
92,SECALE CEREALE EXTRACT
93,PEG-6
94,ARGININE HCL
95,BETALNE
96,OLETH-3
97,ALBIZA JULIBRISSIN BARK EXTRACT
98,DIAZOLIDINYL UREA
99,VINYL CAPROLACTAM/VP/DIMETHYLAMINOETHYL METHACRYLATE COPOLYMER
100,PEG-20
101,LEPIDIUM MEYENII ROOT EXTRACT
102,CITRUS RETICULATA (TANGERINE) LEAF OIL
103,LACTOBACILLUS FERMENT
104,ALTEROMONAS FERMENT FILTRATE
105,PEG/PPG/POLYBUTYLENE GLYCOL-8/5/3 GLYCERIN
106,METHYL GLUCOSE DIOLEATE
107,PEG-450
108,RED 6
109,POLYGLYCERYL-10 PENTAISOSTEARATE
110,MALACHITE
111,QUATERNIUM-90 MONTMORILLONITE
112,ACETYL DIPEPTIDE-1 CETYL ESTER
113,PRUNUS ARMENIACA KERNEL OIL
114,ETHYLHEXYLGLYCERIN
115,VITIS VINIFERA (GRAPE) SEED EXTRACT
116,LAURYL PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE
117,CENTRIMONIUM CHLORIDE
118,AGAVE AMERICANA LEAF EXTRACT (ORGANIC)
119,SODIUM HYALURONATE
120,4-T-BUTYLCYCLOHEXANOL
121,BAPTISIA TINCTORIA ROOT EXTRACT
122,COCOS NUCIFERA (COCONUT) OIL
123,POLYMETHYLSILSEQUIOXANE
124,ALGAE EXTRACT
125,BIS-PEG/PPG-20/5 PEG/PPG-20/5 DIMETHICONE
126,ARGININE
127,CIRE DABEILLE
128,POLYSORBATE 81
129,CHRYSIN
130,PEG-60 HYDROGENATED CASTOR OIL
131,BACCHARIS GENISTELLOIDES EXTRACT
132,CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT
133,CAMELIA SINENSIS
134,CETEARYL ALCOHOL (SOURCE COCONUT OIL)
135,ALUMINUM STARCH OCTENYLSUCCINATE
136,HAMAMELIS VIRGINIANA WATER
137,CAMELIA SINENSIS LEAF EXTRACT
138,IRIS PALLIDA (ORRIS) ROOT EXTRACT
139,AHNFELTIA CONCINNA EXTRACT
140,GARCINIA MANGOSTANA PEEL EXTRACT
141,ILLITE
142,LACTIC ACID
143,OCTINOXATE
144,CHONDRUS CRISPUS (RED ALGAE) EXTRACT
145,POMELO GRAPEFRUIT SEED OIL
146,CURCUMA LONGA EXTRACT
147,CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT
148,UNDECYLENOYL PHENYLALANINE
149,TALC
150,POLYGLYCERIN-3
151,PPG-1-PEG-9 LAURYL GLYCOL ETHER
152,CORCUMA LONGA (TURMERIC) ROOT EXTRACT
153,LACTOBACILLUS/ASPERGILLUS/PRUNUS MUME FRUIT FERMENT FILTRATE
154,PROPA NEDIOL
155,PHENOXYETHANOL
156,INULA CRITHMOIDE EXTRACT
157,GLYCERIN (NATURAL HUMECTANT - PLANT-BASED PALM OIL)
158,GREEN 3
159,ETHYL MENTHANE CARBOXAMIDE
160,JUNIPERUS MEXICANA OIL
161,JASMINUM OFFICINALE (JASMINE) OIL
162,DIMETHICONE COPOLYOL
163,BEHENYL OLIVATE
164,MENTHA PIPERITA (PEPPERMINT) EXTRACT
165,VIOLA TRICOLOR EXTRACT
166,PINUS NIGRA BUD/NEEDLE EXTRACT
167,LENTINULA EDODES (SHIITAKE MUSHROOM) EXTRACT
168,STEARYL DIMETHICONE
169,PROPOLIS EXTRACT
170,SACCHARIDE ISOMERATE
171,COPPER CHLOROPHYLL
172,MYRTUS COMMUNIS (MYRTLE) LEAF WATER
173,HYDROGENATED COCONUT ACID
174,CAMELLIA SINENSIS LEAF EXTRACT
176,AGARICUS BLAZEI EXTRACT
177,MUSA SAPIENTUM (BANANA) FRUIT EXTRACT
178,GLUCONOLACTONE
179,PEG-40 STERATE
180,BUTYLOCTYL SALICYLATE
181,ACHILLEA MILLEFOLIUM FLOWER EXTRACT
182,LAURETH-2
183,SAPINDUS MUKOROSSI FRUIT EXTRACT
185,BULNESIA SARMIENTOI WOOD OIL
187,BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE
188,LEVULINIC ACID
189,SODIUM POTASSIUM ALUMINUM SILICATE
190,LAWSONIA INERMIS (HENNA) EXTRACT
191,PENTYLENE GLYCOL
192,CHITOSAN
193,CERAMIDE NG
194,DIETHYLHEXYL CARBONATE
195,PUNICA GRANATUM (POMEGRANATE) STEROLS
196,CYMBOPOGON SCHOENANTHUS OIL
197,ROSA DAMASCENA FLOWER OIL
198,ARNICA MONTANA (ARNICA) EXTRACT
199,TRIOLEIN
200,PRUNUS AMYGDALUS AMARA (BITTER ALMOND) KERNEL OIL
201,LEUCONOSTOC FERMENT FILTRATE
202,OCTISALATE 2.00%
203,GLYCYRRHIZA GLABRA (LICORICE) RHIZOME/ROOT EXTRACT
204,ACER SACCHARUM (SUGAR MAPLE) EXTRACT
205,MARINE ALGAE PLASMA
206,ALGAE EXTRACT
207,PEACH FRUIT EXTRACT
208,PETROLATUM
209,RHODOCHROSITE EXTRACT
210,A 70 PROPELLANT
211,POLYGLYCERYL-3 BEESWAX
212,ROSAMARINUS OFFICINALIS (ROSEMARY) LEAF OIL
213,SODIUM COCOYL GLUTAMATE
214,EPIDERMOSIL
215,HDI/TRIMETHYLOL HEXYLLACTONE CROSSPOLYMER
216,RHODIOLA ROSEA ROOT EXTRACT
217,MALTOSE
218,ZINGIBER ZERUMBET EXTRACT
219,PALMITIC ACID
220,EUCALYPTUS GLOBULUS LEAF POWDER
221,SANTALUM ALBUM (SANDALWOOD) WOOD EXTRACT
222,SODIUM LAUROYL SARCOSINATE
223,BRASSICA OLERACEA ACEPHALA LEAF EXTRACT
224,HYDROGENATED PHOSPHATIDYLCHOLINE CITRONELLOL
225,PEG/PPG - 18/18 DIMETHICONE
226,EQUISETUM ARVENSE LEAF EXTRACT
227,PANTHENYL TRIACETATE
228,RYE SEED EXTRACT
229,TRIETHANOLAMINE
230,IRON OXIDE
231,ISOPROPYL TITANIUM TRIISOSTEARATE
232,METHYL ALCOHOL
233,YELLOW 5 LAKE
234,MAGNESIUM
235,MORINDA CITRIFOLIA FRUIT JUICE
236,CARTHAMUS TINCTORIUS SEED OIL
237,PASSIFLORA EDULIS (PASSION FRUIT) SEED OIL
238,GLUCOSE
239,BRASSICA OLERACEA CAPITATA (CABBAGE) LEAF EXTRACT
240,D-CALCIUM PANTOTHENATE
241,VITIS VINIFERA (GRAPE) FRUIT WATER
242,PROPYLENE GLYCOL DICAPRATE
243,PLATYCODON GRANDIFLORUM ROOT EXTRACT(8.75%)
244,GLYCYRRHIZA INFLATA ROOT EXTRACT
245,PRUNELLA VULGARIS FLOWER/LEAF/STEM EXTRACT
246,CETEARYL OLIVATE
247,CREATINE
248,ALOE VERA
249,BUDDLEJA DAVIDII EXTRACT
250,DECLUSTERED WATER
251,ZINC OXIDE 2.0%WATER
252,PEG-10 PHYTOSTEROL
253,OCIMUM BASILICUM (BASIL) EXTRACT
254,PUNICA GRANATUM EXTRACT
255,HYALURONIC ACID
256,THEOBROMA CACAO (COCOA) EXTRACT
257,PEG/PPG-8/3 DIISOSTEARATE
258,HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID
259,SPIRULINA
260,SODIUMHYALURONATE
261,CERA ALBA/BEESWAX/CIRE D'ABEILLE
262,GENTIANA LUTEA ROOT EXTRACT
263,XANTHAN GUM
