Product ID,Combination,Dry,Normal,Oily,Sensitive
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,0
4,1,1,1,1,1
5,1,1,1,1,1
6,1,0,1,1,1
7,1,1,1,1,0
8,1,1,1,1,0
9,1,1,1,1,1
10,0,0,0,0,0
11,0,0,0,0,0
12,1,1,1,1,1
13,1,0,1,1,0
14,1,1,1,1,1
15,1,1,1,1,1
16,1,1,1,1,0
17,1,1,1,1,1
18,1,1,1,1,1
19,0,0,0,0,0
20,0,1,1,0,1
21,1,1,1,1,1
22,0,0,0,0,0
23,0,0,0,0,0
24,1,1,1,0,0
25,0,1,1,0,0
26,0,0,0,0,0
27,1,1,1,1,0
28,1,1,1,1,1
29,1,1,0,0,0
30,1,1,1,1,1
31,0,0,0,0,0
32,1,1,1,1,1
33,1,1,1,1,1
34,0,1,0,1,1
35,1,1,1,1,0
36,0,0,0,0,0
37,1,1,1,1,1
38,0,1,1,0,1
39,1,1,1,1,1
40,0,0,0,0,0
41,1,1,1,0,1
42,0,1,1,0,0
43,1,0,0,1,0
44,1,1,1,1,0
45,1,1,1,1,1
46,1,1,1,1,1
47,1,1,1,1,1
48,0,0,0,0,0
49,1,1,1,0,1
50,1,0,1,1,1
51,1,1,1,1,1
52,1,1,1,1,1
53,1,1,1,1,1
54,1,1,1,1,1
55,1,1,1,1,0
56,0,0,0,0,0
57,1,1,1,1,1
58,0,0,0,0,0
59,1,1,1,1,1
60,1,1,1,0,1
61,1,1,1,1,1
62,1,1,1,1,1
63,1,0,1,1,0
64,1,1,1,1,1
65,1,1,1,1,1
66,1,0,1,1,0
67,1,1,1,1,1
68,0,0,0,0,0
69,1,1,1,1,1
70,0,0,0,0,0
71,1,1,1,1,1
72,1,1,1,0,1
73,1,1,1,1,0
74,0,0,0,0,0
75,1,1,1,0,1
76,0,1,1,0,1
77,0,0,0,0,0
78,1,1,1,1,1
79,1,1,1,1,1
80,1,1,1,1,0
81,1,1,1,1,1
82,1,1,1,1,1
83,1,1,1,1,0
84,1,1,1,1,1
85,0,0,0,0,0
86,1,1,1,1,1
87,1,1,1,1,1
88,1,1,1,1,1
89,0,1,1,0,0
90,0,0,0,0,0
91,0,0,1,1,0
92,0,0,0,0,0
93,1,1,0,0,0
94,1,1,1,1,1
95,1,1,1,1,1
96,0,0,0,0,0
97,1,0,1,1,1
98,0,0,0,0,0
99,1,1,1,1,1
100,1,1,1,1,1
101,1,1,1,1,1
102,1,1,1,1,1
103,1,1,1,1,1
104,0,0,0,0,0
105,1,1,1,1,1
106,1,0,1,1,1
107,1,1,1,1,1
108,0,1,0,0,1
109,0,0,0,0,0
110,1,1,1,1,1
111,0,1,1,1,0
112,0,1,0,0,1
113,1,1,1,1,1
114,1,1,1,1,1
115,0,0,0,0,0
116,1,0,1,1,1
117,0,0,0,0,0
118,1,1,1,1,1
119,0,0,0,0,0
120,1,1,1,0,1
121,0,0,0,0,0
122,0,1,1,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,1,1,1,1,1
127,1,0,1,1,0
128,1,0,1,1,1
129,1,1,1,1,1
130,0,0,0,0,0
131,1,1,1,0,0
132,1,1,1,0,1
133,0,0,0,0,0
134,1,1,1,1,1
135,1,1,1,1,1
136,1,1,1,1,1
137,1,1,1,1,1
138,1,1,1,1,1
139,0,0,0,0,0
140,1,1,1,1,1
141,1,1,1,1,1
142,1,1,1,1,1
143,0,0,0,0,0
144,1,1,1,1,0
145,1,1,1,1,1
146,1,1,1,1,1
147,1,0,1,1,1
148,1,1,1,1,1
149,1,1,1,1,1
150,1,1,1,1,1
151,1,0,0,1,0
